number,fermat method,classical method
213073,58.612,145.664
807684,146.012,277.842
1907246,198.614,428.966
3548668,261.322,594.22
5763833,314.8,772.834
7102309,417.688,811.78
10713624,472.168,1027.378
13555007,504.612,1163.824
17181301,571.984,1314.89
21703157,657.09,1459.678
25469768,769.764,1568.972
31084178,784.908,1757.496
36433309,838.708,1874.584
43480659,931.376,2073.38
49178675,967.052,2214.836
53698785,1004.332,2319.374
63954161,1058.192,2559.932
71687377,1122.67,2676.0
77019261,1141.088,2792.964
89003700,1280.484,2993.334
91919199,1293.054,3026.978
108155704,1328.242,3345.456
114534294,1454.574,3369.344
138533639,1472.08,3823.396
141744802,1638.832,3814.098
157862412,1470.604,4078.732
154086103,1699.166,3924.684
164210006,1752.626,4036.286
175423768,1618.164,4248.464
192210514,1717.064,4432.304
218144856,1641.67,4812.772
224220724,2138.758,4736.306
234828237,2055.642,4813.988
261341944,2226.606,5131.054
258592641,2334.394,5093.442
267604450,2302.492,5118.274
300663411,2072.71,5573.05
330101037,2191.618,5833.64
334145170,2526.018,5764.706
367871441,2425.882,6189.648
379491763,2361.984,6294.504
398961332,2370.612,6550.256
404594730,2573.906,6489.612
421311879,2683.48,6467.584
450292127,2748.048,6804.788
465617554,2757.458,6829.966
469102198,2846.548,6789.788
508921909,2656.692,7225.29
522534187,3136.278,7268.72
559747944,3168.662,7568.796
632065966,2826.434,8343.962
626632791,2963.718,8166.516
614622097,3416.864,7799.25
598382768,3610.166,7704.936
685337842,3402.388,8395.28
680525115,3493.68,8373.214
706828385,3785.8,8299.144
774355390,3647.452,8855.5
778335835,3645.908,8880.336
824189821,3784.216,9263.332
894623351,3562.402,9721.238
864661223,3733.168,9455.178
856303827,3758.472,9346.724
936791284,3814.448,9855.88
895280773,4165.15,9352.59
995522587,4245.326,10218.106
1024471744,4088.912,10335.226
1020968332,4013.632,10303.992
1033855721,4056.878,10295.222
990493744,4514.322,9858.956
1170839708,4061.802,11148.612
1122183416,4687.636,10448.006
1291081727,4295.138,11694.818
1179569480,4839.514,10913.38
1306334866,4527.058,11721.836
