number,fermat method,classical method
219956,55.5,150.25
919268,98.27,310.68
1611956,216.19,376.09
3316841,262.06,580.56
5350959,298.31,710.85
7085359,364.78,840.11
11423033,424.91,1090.02
15828797,507.73,1349.95
18233433,553.53,1355.65
17984853,727.01,1249.34
27761658,617.61,1737.67
30672483,843.67,1700.79
32770634,947.62,1710.58
42345196,785.55,2062.18
52625335,962.49,2311.64
59496584,1011.36,2477.71
63465693,973.4,2567.29
71608422,1129.52,2694.57
76767584,1321.12,2722.6
79933029,1136.08,2814.34
87456143,1416.88,2816.47
121078958,1226.59,3636.34
110235753,1496.26,3203.57
122274147,1311.04,3519.77
111923177,1761.74,3214.78
160155927,1939.5,4034.56
186164622,1608.81,4459.46
158930072,1872.21,3984.17
165588055,1918.03,4037.55
199551432,1926.7,4486.73
195082780,1855.07,4518.39
276849633,1897.64,5602.18
237676414,1903.17,5017.25
271432156,1938.53,5331.44
243768760,2622.13,4623.46
265521208,2369.18,5030.61
284565572,2169.47,5363.26
315963205,2477.33,5720.73
317425289,2384.08,5786.95
321207057,2216.09,5831.53
383179269,2017.75,6369.48
407212571,2276.16,6579.15
480956133,2402.11,7355.71
505944647,2218.28,7646.39
414773323,2540.3,6357.41
416190181,3131.45,6106.59
551187538,2315.88,7829.1
566712483,2777.37,7779.64
487197397,3175.98,6949.3
502451235,3171.19,6969.8
532517166,3863.56,7187.02
573228222,3330.01,7541.95
652346414,3056.22,8453.5
609946525,3554.35,8001.42
675541010,4199.24,8165.41
600065240,3830.05,7543.7
679385182,3232.86,8219.55
741083495,3266.0,8770.46
854595738,2914.72,9801.42
712529216,3651.65,8387.89
705438124,3894.69,8377.19
850986566,4002.99,8915.67
787841658,4304.2,8393.87
825869580,4178.98,8832.8
1026860674,3839.62,10490.73
927916934,4726.38,9774.15
979006581,4457.34,10050.29
1120988788,3296.54,11277.66
1113165591,4141.78,10837.36
1041131313,3711.57,10389.16
1197957928,4211.85,11360.41
1051857966,4033.21,10462.32
1294554543,4050.25,12235.41
1085817372,5079.27,10239.54
1226091174,4721.13,11239.22
1102515679,4761.5,10348.67
1314893175,4105.17,11851.86
1407578319,4057.16,12824.31
1539528295,3793.74,13297.47
1211846098,6273.74,10242.58
1445956084,4659.29,11939.14
1718031684,5511.52,13645.44
1754337413,5071.05,13980.16
1480702392,5011.9,12642.42
1720225218,4610.89,13497.57
2019367571,5570.05,14797.27
2026133510,4868.94,15176.45
1774854466,5221.26,13938.96
1866198476,5769.3,13639.31
1786743000,5572.09,13321.35
1955849581,5121.68,14293.68
1869305549,5092.31,14012.49
1907533319,6620.51,13500.67
1745128268,6953.02,12526.03
2383114488,4797.03,16253.56
2056636257,5783.73,14554.82
1962153047,6527.74,13767.75
2733105799,5130.08,18166.96
2102693791,6188.17,14414.27
2356747890,5611.9,16175.18
2176812991,7161.68,14439.25
2819396820,5748.24,18092.9
2262478640,5576.23,15596.56
2431969785,5114.62,16119.92
2263672263,7060.28,14478.75
2778284318,6129.02,16755.26
2714466252,6326.88,17050.09
2570856090,4999.34,16410.89
2380337529,6053.32,15257.46
2731336328,5997.32,16785.32
2646889424,6247.96,16090.5
2811602838,6901.49,17755.18
2908567471,7458.76,17162.18
3218601099,6728.48,18334.31
3142244013,7061.89,18423.49
3094819031,5903.69,18178.85
3103958139,6981.18,17808.12
3119517782,6803.95,17915.09
3143656148,7634.51,17515.26
3236402048,7214.84,18440.85
3654830224,8249.83,19521.96
3194100230,8092.61,17454.26
3442733630,7018.99,19279.2
3800011433,6585.31,20646.34
3671377970,7456.22,19490.23
3096149076,8924.13,16835.04
3366446290,8478.82,18162.34
4024153739,7627.37,20592.42
4032674207,7115.16,21482.3
3824149576,7984.49,20007.09
4274677033,6074.52,21900.44
3701880291,7138.03,19345.37
4347361662,7880.0,21170.34
3780912672,9989.45,18851.65
3891052197,8427.58,20117.46
3960767710,9468.85,19392.99
4685234846,5327.17,23365.87
4788973028,7212.85,22471.85
4017499506,8677.5,20595.97
4656045354,9547.17,21897.48
4779865295,10163.29,21655.79
4868045816,7746.87,22988.07
4767604976,8641.15,22258.65
4511755326,9345.7,21841.11
4850096642,7833.68,23017.96
4402096988,9057.35,20910.59
5002218989,7391.68,23481.5
5191570366,9942.54,22264.64
5053659222,8282.22,22580.7
5625275504,8189.75,25179.16
4942627548,9628.88,22197.05
4195740844,10154.04,19383.07
4967094234,9780.36,21512.34
5516188556,8363.6,24871.33
4996282365,10058.49,22206.2
5745846284,9252.95,24744.06
5950150406,7467.69,25447.39
5816181160,7846.44,25386.56
4728114769,9956.42,21616.52
4568717940,13206.83,19092.13
5263234344,9243.94,22942.19
5626333141,9352.52,23484.69
5506646739,11929.46,22703.55
6332748031,11283.42,25417.57
6371996805,8049.91,26064.27
5429552195,11987.2,22725.29
7029239956,9827.58,27339.32
6151853414,10732.97,24389.5
5655793520,11167.61,23426.97
6288121419,14503.94,24629.1
6712245646,9755.73,26407.49
5494754834,10413.87,22711.97
7653565360,11479.5,28843.19
7130342271,10984.55,27500.66
6476099167,10392.23,25838.11
7130964387,10862.71,27836.1
6773247299,8742.0,27257.18
7718712545,9485.38,29254.45
6217158267,11847.92,24098.63
7032548911,12256.86,25892.41
8022267503,8977.0,30351.14
8543668899,10805.77,29604.58
5715872093,13562.05,22929.97
7416761619,9369.94,28612.79
6039501956,13638.7,23109.06
7440096378,11938.93,26961.77
7263714987,10814.85,27907.91
7407827795,11836.11,26831.84
7760555506,11103.83,28652.61
8649748538,10725.79,30410.05
7434321174,9734.41,27752.11
8317405241,11619.57,28859.16
7435838559,11211.44,27319.77
9221717699,12311.42,31398.03
8595380574,11260.09,30417.5
9488591946,10366.54,33106.96
10344190279,10606.65,33668.83
8737625862,13015.86,29956.14
9406951721,12147.18,31968.74
7625510053,15718.66,26794.78
8232164269,13886.14,28188.08
9500255674,11952.16,32054.16
8506775149,13923.42,28456.53
9892764568,10981.38,32942.72
10193884645,12210.42,33745.69
11037493216,13031.54,34870.48
8493771719,14958.6,28733.32
9876679222,13426.28,31693.66
10234571448,13655.01,32726.51
9574964295,15297.1,30688.14
9680121431,14299.66,30749.6
10952728750,11084.64,35463.6
8785670845,15308.15,29131.26
9171559127,11462.58,30623.53
9160020266,12100.27,30569.17
11160662629,14352.14,34647.07
12805505458,12507.72,38516.89
11731206287,12792.33,36355.32
12549528558,11147.1,38554.67
11712825681,14767.21,34963.87
11223543067,13229.16,34116.56
9204835908,13942.96,29636.04
10679893829,13765.28,32197.88
10475289807,11351.54,32896.93
11097963229,11428.57,34318.18
12948721404,12432.41,37192.86
9774116109,11693.88,30863.18
11065522159,15285.77,33328.44
12467056137,13976.71,36368.73
11427116243,12752.87,34117.96
11876759320,12708.55,35388.83
8697421853,16908.18,26856.38
11473920399,13632.15,35029.73
