number,fermat method,classical method
11249530486,12138.078,34931.491
10870339108,13638.549,33372.41
10944414838,13409.758,33485.649
11052219506,13292.873,33864.552
11158682397,13051.689,34216.235
11052565189,13718.593,33420.937
11410815067,14294.873,34100.027
11359617887,13810.395,34281.572
11969368326,13439.796,35363.148
11683581532,13916.084,34609.826
12358601484,13020.066,36277.999
11779548758,13052.579,34934.738
12686832500,14025.523,36758.966
11579796622,14570.216,34352.522
12035696588,13956.97,35083.801
12699434723,14121.146,36633.974
12351940111,14074.083,35778.354
12431661014,13446.0,35746.688
13073186163,14374.711,36995.837
12637673736,14293.102,35666.023
13314223946,14061.603,37591.113
12396333689,15075.831,35486.196
12646018913,15290.269,35785.201
12724822994,14403.016,36281.562
13290173602,14117.385,37279.134
12624556528,15170.464,35635.225
14567225752,13694.955,39700.289
13671139664,14118.49,37659.079
13958017594,14887.38,38338.372
13741447468,15386.5,37279.153
14866480218,13485.793,39973.874
13510352013,15931.368,36939.253
13968252016,14977.94,37951.802
14683389770,14317.783,39606.963
14312036558,16425.611,37885.054
14215649305,16612.289,37881.559
14691096873,14833.465,39042.876
14870322018,15704.731,39085.634
15221025156,15530.763,39743.003
14896873687,15369.242,39528.807
15847419057,16017.519,40634.449
15296470063,16621.773,39505.985
15245024965,16454.818,39380.492
14804136403,16375.226,38675.662
15627391158,15306.351,40650.241
15980688956,15402.222,41240.952
15946371320,17379.799,40321.734
15766833757,15836.836,40662.246
16650497642,14857.73,42400.037
16442892190,16381.096,40996.712
16475615447,16606.112,41342.236
16038314038,16902.327,40368.353
16715602242,16103.148,41540.948
16571166021,17079.878,41069.568
16085777528,16675.719,40296.031
17724405248,16271.445,43485.78
17072210259,15935.558,42214.921
17491874011,16494.146,42399.387
17370288947,18378.622,41878.252
16814080775,17385.304,41219.146
17685499599,16929.401,42910.764
17225348866,17100.448,41821.167
18177287352,16185.495,43471.754
17276805941,17797.416,41900.128
18319429743,17918.684,43153.212
18222883964,17784.546,43405.163
17692603438,17960.286,42334.094
18657920974,16657.897,44200.938
18794686473,17937.888,44570.567
17622256973,17556.675,41991.995
19337284057,17488.607,45354.685
18595588042,17677.25,43630.191
19504829652,17163.064,45523.983
18574503532,18675.619,43291.566
20390607110,16230.542,47187.298
19939401284,17639.187,45746.592
18595387556,19408.646,42970.297
19682854428,17298.461,45025.447
19814419415,18355.407,44964.481
20231233103,19119.072,45696.57
20635419556,18230.053,46501.437
19974698551,18194.199,45214.387
20002237695,19151.607,44888.924
21445045314,17964.84,47999.731
20626858195,17663.386,46098.508
20653622344,17634.494,45864.863
21178797492,17809.53,46936.956
20083010961,18304.977,45270.261
21343319167,18409.599,47118.174
22035829164,18382.75,48092.002
21727043643,18245.344,47874.432
22250442515,18834.138,48277.143
23264573686,18990.416,49354.177
22906851175,18835.904,49037.584
22230292210,18077.198,48161.721
21269224022,19556.556,46207.756
22732440651,18838.532,48950.63
23647379759,18706.31,49465.91
22121836147,19024.499,47781.118
22946196654,18402.895,48880.815
22881096186,19051.097,49024.256
24165482248,19438.447,50078.464
22628495363,20471.179,47596.67
23978024375,18923.879,50435.834
23004110537,19514.638,48684.469
22933259512,20488.958,48271.145
24475833190,19655.823,50578.092
24379404865,19206.312,50878.285
24578484216,20167.533,50349.058
24952269652,19523.737,51650.336
25042677764,19624.913,51266.979
24738548320,20589.649,50684.641
24015666799,20300.734,49426.901
25814324247,18454.59,52889.912
25049760705,20501.614,50756.507
25715167079,19389.134,51905.364
26112438477,20117.655,52345.782
26101499502,20017.089,52450.156
27995605596,20766.047,54557.147
24819207027,20568.755,50351.425
27037102879,19344.554,53249.668
25754841018,20488.459,51724.485
26918412473,19659.514,53304.358
26347338714,21584.822,51826.262
28130119355,19737.555,55141.239
26645311195,18610.779,52910.538
27015797225,20747.678,52779.943
27660642179,22225.823,53282.162
25993366076,22433.001,50967.085
27835933250,21503.964,53565.26
28102653166,20884.363,53828.33
29086385558,20965.88,55939.279
27955986988,20913.156,53724.777
27633730393,21400.182,53202.918
28807493932,20703.533,54879.048
29127681741,21326.23,54891.353
27129722982,22076.479,52509.968
29252107909,22173.385,55069.626
29535678461,21499.431,55635.246
29468932572,22973.833,55242.903
29246572315,22500.537,54357.027
29043272179,21144.449,55126.497
29298882282,22373.793,54708.2
30386834454,21478.334,56843.792
30198628872,22120.164,55500.438
30077554764,20729.17,56448.698
29990920115,22416.695,55915.015
29649058150,23250.953,54812.703
30586026756,22857.174,56277.971
30653137971,22293.036,56638.37
30852448539,21827.519,56733.471
31387784587,22088.001,57157.862
32040935337,22066.469,57854.226
31169214689,22865.655,57024.042
31170490867,22668.635,57143.952
32312073491,22219.893,58362.87
31308984337,20906.64,57487.159
31492279887,24131.813,56803.737
33194575442,21228.68,59305.379
34790444605,20446.749,61901.114
32132200599,22398.407,57465.409
33150468082,22909.042,58910.684
31977482996,21093.972,57277.895
33116723120,23975.525,58619.915
32545793691,24402.232,57681.429
32667614750,22943.598,58574.419
32449583179,22994.876,58093.297
32845963748,22805.356,58334.791
33657972925,24153.322,59083.439
33782686867,24113.491,59207.073
34050276962,24332.917,58979.771
35562469297,23633.245,61243.187
34411155125,24192.422,59060.477
35238847674,24852.028,60189.271
36131229011,23965.766,61671.63
35070620404,23463.534,60101.622
36083564801,23011.985,61996.881
36667355003,24479.068,61822.079
35822829186,23876.982,61403.753
35064778311,25583.869,59516.108
36100865413,24343.555,60549.592
36883180217,22785.878,62261.258
36061322132,23580.234,61724.079
36663848484,26249.616,60754.286
37211503411,24905.558,61710.419
36309640552,24104.232,61043.421
37387185944,24239.001,62814.932
38206698068,24165.84,63666.742
37809679056,24123.789,62743.348
37304033062,24733.114,62035.839
38289598776,23217.096,63582.602
38121040866,25093.841,63317.921
37362918125,25316.722,62327.569
38543474395,25383.625,63881.846
36579384854,27193.803,60423.839
40049111628,24176.207,65327.508
40172271568,23774.718,65697.649
38944907504,25837.647,63208.201
38636677976,23728.084,63514.785
39375693651,24986.725,64030.036
40116054215,26155.846,64557.847
38600555342,25172.144,62735.883
