cap,fermat method,classical method
246000,14586.056,39248.624
247000,14830.352,39243.102
248000,14893.086,38206.504
249000,15543.476,37840.072
250000,15248.952,39411.83
251000,15671.894,38761.56
252000,13982.504,41252.182
253000,15265.198,38694.086
254000,14974.628,40595.34
255000,14702.424,41261.636
256000,14259.7,41421.166
257000,15843.04,38541.824
258000,16398.194,38267.126
259000,15618.912,39146.37
260000,16167.7,40235.118
261000,16515.594,37245.844
262000,16524.638,39432.458
263000,17473.796,39297.826
264000,16210.58,39873.604
265000,15209.404,41560.33
266000,16748.54,39941.56
267000,16851.95,40490.878
268000,16629.052,40850.554
269000,15084.034,43490.354
270000,16670.826,40584.738
271000,17354.15,41384.122
272000,16227.914,40459.482
273000,18252.014,42666.916
274000,17755.53,39496.034
275000,18495.074,39780.694
276000,16783.092,41445.002
277000,17633.094,42970.374
278000,16641.278,42782.832
279000,17432.66,43531.306
280000,16569.106,41740.914
281000,15625.06,42326.974
282000,16368.6,42255.352
283000,17588.486,43345.904
284000,18210.48,45851.734
285000,17456.304,43755.708
286000,18461.336,43023.596
287000,16161.302,48202.738
288000,17685.16,46553.892
289000,16791.608,43440.42
290000,18269.214,43991.022
291000,17639.174,44182.624
292000,16521.738,47165.694
293000,18032.764,43238.992
294000,18314.138,46249.666
295000,17742.428,44108.276
296000,18214.568,46122.86
297000,16728.056,47359.176
298000,17784.958,45578.432
299000,16889.034,46416.258
300000,17223.924,47941.576
301000,18036.964,47352.098
302000,17205.388,46433.698
303000,18861.764,47124.534
304000,18089.466,47478.502
305000,17760.082,46422.06
306000,20351.702,45012.452
307000,19511.354,46607.674
308000,18530.11,47007.094
309000,21262.942,46520.714
310000,19500.48,48938.96
311000,18252.816,47861.864
312000,18788.43,47687.816
313000,19030.142,47768.588
314000,18455.29,47946.46
315000,20156.538,48493.69
316000,18755.248,51530.71
317000,19235.964,48081.898
318000,19508.234,48425.658
319000,19697.748,49307.926
320000,20373.89,46388.186
321000,20159.566,47305.866
322000,19851.446,50528.444
323000,19858.484,48581.988
324000,22073.552,46300.154
325000,19638.092,53157.738
326000,20631.276,50217.306
327000,21396.772,46555.192
328000,19696.482,49309.868
329000,19347.866,50877.326
330000,18249.118,52063.672
331000,20471.768,53263.33
332000,21314.348,54407.964
333000,21166.814,50565.202
334000,21143.68,51262.324
335000,17963.562,52847.554
336000,23202.264,51562.736
337000,20640.868,50323.958
338000,20102.516,50186.698
339000,21853.692,52224.878
340000,21290.674,53054.752
341000,21774.83,51704.55
342000,19963.828,53804.942
343000,18544.582,54342.106
344000,21270.56,47685.122
345000,21131.98,54002.52
346000,20710.406,53913.354
347000,20850.794,55884.764
348000,19877.826,53663.554
349000,21427.842,53976.262
350000,21331.37,53198.916
351000,22406.696,52316.86
352000,20162.142,57037.606
353000,19854.196,56903.618
354000,22737.736,53221.254
355000,20366.13,56337.756
356000,22577.934,52080.506
357000,23001.826,57856.712
358000,22415.696,53035.938
359000,20394.106,57426.212
360000,22539.68,51327.744
361000,19926.256,56715.74
362000,22780.43,54075.728
363000,21625.09,56238.95
364000,22720.596,55789.88
365000,21992.94,55868.31
366000,21991.99,56215.45
367000,22259.686,57940.636
368000,22228.188,55676.332
369000,22507.384,58260.672
370000,25340.97,55203.078
371000,22463.388,53793.89
372000,22534.748,56864.168
373000,21331.67,59262.722
374000,24348.214,58575.27
375000,22411.98,57359.926
376000,22653.378,58193.268
377000,23390.556,56457.694
378000,23782.9,57269.114
379000,22082.382,58976.544
